ACCOUNT NO,POLE,PHASE,AVG CONSU MPTION PER DAY,PANEL CAPACITY,IMPORT AVG,EXPORT AVG,,PANNEL PASE,AVG SOLAR,,5.5
103442108,EN51/11,2,8,0,0,0,,5,155,,
103442603,EN51/11,3,10,0,0,0,,5,155,,
,,,,,,,,,,,
103977005,EN51/11/1,2,4,0,0,0,,5,155,,
103459202,EN51/11/1,1,7,0,0,0,,5,155,,
103459103,EN51/11/1,1,9,0,0,0,,5,155,,
103442504,EN51/11/1,3,11,0,0,0,,5,155,,
103459004,EN51/11/1,3,10,0,0,0,,5,155,,
,,,,,,,,,,,
103459411,EN51/11/2,1,1,0,0,0,,5,155,,
103459510,EN51/11/2,4,13,0,0,0,,5,155,,
103460005,EN51/11/2,1,11,0,0,0,,5,155,,
103459609,EN51/11/2,1,5,0,0,0,,5,155,,
103459301,EN51/11/2,4,10,0,0,0,,5,155,,
106966904,EN51/11/2,3,2,0,0,0,,5,155,,
103459708,EN51/11/2,3,5,0,0,0,,5,155,,
103459807,EN51/11/2,3,7,0,0,0,,5,155,,
103459906,EN51/11/2,2,9,0,0,0,,5,155,,
103976807,EN51/11/2,3,6,0,0,0,,5,155,,
103976609,EN51/11/2,2,1,0,0,0,,5,155,,
105457110,EN51/11/2,3,5,0,0,0,,5,155,,
,,,,,,,,,,,
103460907,EN51/11/3,3,5,0,0,0,,5,155,,
103460104,EN51/11/3,2,6,0,0,0,,5,155,,
103460610,EN51/11/3,1,11,0,0,0,,5,155,,
,,,,,,,,,,,
103461006,EN51/11/4,3,5,0,0,0,,5,155,,
103976301,EN51/11/4,4,50,5,26.7,23.23,,2,155,119.85,
103460709,EN51/11/4,2,11,0,0,0,,5,155,,
103461105,EN51/11/4,1,7,0,0,0,,5,155,,
,,,,,,,,,,,
103976411,EN51/11/5,4,7,0,0,0,,5,155,,
103460203,EN51/11/5,1,13,0,0,0,,5,155,,
103975410,EN51/11/5,2,29,0,0,0,,5,155,,
,,,,,,,,,,,
103460511,EN51/11/6,1,3,0,0,0,,5,155,,
,,,,,,,,,,,
103461204,EN51/11/7,4,20,0,0,0,,5,155,,
,,,,,,,,,,,
103460401,EN51/11/7/1,3,41,4,24.14,16.51,,2,155,124.667,
103461303,EN51/11/7/1,2,5,0,0,0,,5,155,,
103461402,EN51/11/7/1,2,14,0,0,0,,5,155,,
,,,,,,,,,,,
103461501,EN51/11/7/2,3,4,0,0,0,,5,155,,
106165906,EN51/11/7/2,2,2,0,0,0,,5,155,,
,,,,,,,,,,,
103976202,EN51/11/7/3,3,14,0,0,0,,5,155,,
106369604,EN51/11/7/3,2,6,0,0,0,,5,155,,
103461611,EN51/11/7/3,1,3,0,0,0,,5,155,,
,,,,,,,,,,,
103975509,EN51/11/8,4,10,0,0,0,,5,155,,
106740106,EN51/11/8,4,9,0,0,0,,5,155,,
106868003,EN51/11/8,3,7,0,0,0,,5,155,,
103975608,EN51/11/8,4,9,0,0,0,,5,155,,
103976004,EN51/11/8,1,22,0,0,0,,5,155,,
103461710,EN51/11/8,1,8,0,0,0,,5,155,,
106238506,EN51/11/8,4,37,4,18.68,18.3,,1,155,102,
103975311,EN51/11/8,1,1,0,0,0,,5,155,,
