,load
00:15:00,60
00:30:00,59
00:45:00,58
01:00:00,57
01:15:00,55
01:30:00,56
01:45:00,55
02:00:00,55
02:15:00,54
02:30:00,55
02:45:00,54
03:00:00,54
03:15:00,55
03:30:00,54
03:45:00,53
04:00:00,54
04:15:00,54
04:30:00,55
04:45:00,57
05:00:00,59
05:15:00,58
05:30:00,61
05:45:00,60
06:15:00,59
06:30:00,58
06:45:00,56
07:00:00,55
07:15:00,52
07:30:00,51
07:45:00,49
08:00:00,47
08:15:00,46
08:30:00,43
08:45:00,40
09:00:00,40
09:15:00,39
09:30:00,38
09:45:00,38
10:00:00,43
10:15:00,39
10:30:00,35
10:45:00,40
11:00:00,36
11:15:00,36
11:30:00,35
11:45:00,34
12:15:00,35
12:30:00,35
12:45:00,34
13:00:00,36
13:15:00,37
13:30:00,37
13:45:00,37
14:00:00,37
14:15:00,38
14:30:00,39
14:45:00,42
15:00:00,42
15:15:00,43
15:30:00,43
15:45:00,47
16:00:00,47
16:15:00,48
16:30:00,49
16:45:00,50
17:00:00,51
17:15:00,53
17:30:00,54
17:45:00,34
18:00:00,54
18:15:00,58
18:30:00,61
18:45:00,64
19:00:00,65
19:15:00,66
19:30:00,67
19:45:00,67
20:00:00,68
20:15:00,71
20:30:00,71
20:45:00,70
21:00:00,70
21:15:00,69
21:30:00,70
21:45:00,71
22:00:00,70
22:15:00,68
22:30:00,68
22:45:00,66
23:00:00,66
23:15:00,66
23:30:00,66
23:45:00,65
00:00:00,64
