house,load
23/02/2017 00:15,312
23/02/2017 00:30,300
23/02/2017 00:45,288
23/02/2017 01:00,276
23/02/2017 01:15,252
23/02/2017 01:30,264
23/02/2017 01:45,252
23/02/2017 02:00,252
23/02/2017 02:15,240
23/02/2017 02:30,252
23/02/2017 02:45,240
23/02/2017 03:00,240
23/02/2017 03:15,252
23/02/2017 03:30,240
23/02/2017 03:45,228
23/02/2017 04:00,240
23/02/2017 04:15,240
23/02/2017 04:30,252
23/02/2017 04:45,276
23/02/2017 05:00,300
23/02/2017 05:15,288
23/02/2017 05:30,324
23/02/2017 05:45,312
23/02/2017 06:00,312
23/02/2017 06:15,300
23/02/2017 06:30,288
23/02/2017 06:45,264
23/02/2017 07:00,252
23/02/2017 07:15,216
23/02/2017 07:30,204
23/02/2017 07:45,180
23/02/2017 08:00,156
23/02/2017 08:15,144
23/02/2017 08:30,108
23/02/2017 08:45,72
23/02/2017 09:00,72
23/02/2017 09:15,60
23/02/2017 09:30,48
23/02/2017 09:45,48
23/02/2017 10:00,108
23/02/2017 10:15,60
23/02/2017 10:30,12
23/02/2017 10:45,72
23/02/2017 11:00,24
23/02/2017 11:15,24
23/02/2017 11:30,12
23/02/2017 11:45,12
23/02/2017 12:00,12
23/02/2017 12:15,12
23/02/2017 12:30,12
23/02/2017 12:45,12
23/02/2017 13:00,24
23/02/2017 13:15,36
23/02/2017 13:30,36
23/02/2017 13:45,36
23/02/2017 14:00,36
23/02/2017 14:15,48
23/02/2017 14:30,60
23/02/2017 14:45,96
23/02/2017 15:00,96
23/02/2017 15:15,108
23/02/2017 15:30,108
23/02/2017 15:45,156
23/02/2017 16:00,156
23/02/2017 16:15,168
23/02/2017 16:30,180
23/02/2017 16:45,192
23/02/2017 17:00,204
23/02/2017 17:15,228
23/02/2017 17:30,240
23/02/2017 17:45,240
23/02/2017 18:00,240
23/02/2017 18:15,288
23/02/2017 18:30,324
23/02/2017 18:45,360
23/02/2017 19:00,372
23/02/2017 19:15,384
23/02/2017 19:30,396
23/02/2017 19:45,396
23/02/2017 20:00,408
23/02/2017 20:15,444
23/02/2017 20:30,444
23/02/2017 20:45,432
23/02/2017 21:00,432
23/02/2017 21:15,420
23/02/2017 21:30,432
23/02/2017 21:45,444
23/02/2017 22:00,432
23/02/2017 22:15,408
23/02/2017 22:30,408
23/02/2017 22:45,384
23/02/2017 23:00,384
23/02/2017 23:15,384
23/02/2017 23:30,384
23/02/2017 23:45,372
24/02/2017 00:00,360
